Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Pygmees,"Mbuti, Aka, Twa",1110000,1.0,0.077622,Langues pygmées + bantoues,"Ituri, forêts équatoriales",Minority Rights Group,Groupes autochtones forestiers,Les plus anciens habitants de la forêt du Congo,Nomade forestier,Spiritualités animistes,Autochtone,Peuples autochtones,"RDC, Cameroun, RCA, Rwanda, Burundi"
Tetela-Kusu,"Tetela, Kusu, Ombo, Yela…",4440000,4.0,0.31049,"Tetela, Kusu et langues apparentées","Sankuru, Maniema, Tshopo","Ethnologue, études régionales",Chefferies Tetela–Kusu,Grande famille bantoue du centre-est congolais,Sédentaire agricole,Christianisme + traditions,Bantou,Chefferies Tetela,Centre-est RDC
Lega,Lega (Rega),3330000,3.0,0.232867,Kilega,"Sud-Kivu (Itombwe, Mwenga)","Ethnologue, travaux sur le Bwami",Chefferies Lega,Réputés pour la confrérie initiatique Bwami et les masques,Sédentaire,Christianisme + symbolisme Bwami,Bantou,Chefferies Lega,Est de la RDC
Bembe,"Bembe, Buyu, Vira",2220000,2.0,0.155245,"Kibembe, Kibuye, Kivira","Fizi, Uvira (Sud-Kivu), Tanganyika",Ethnologue,Chefferies Bembe,Peuples montagnards des rives du lac Tanganyika,Agropastorale,Christianisme + traditions locales,Bantou,Chefferies lacustres,"RDC, Tanzanie (zones voisines)"
Hunde,Hunde,2220000,2.0,0.155245,Hunde,"Nord-Kivu (Masisi, Walikale)",Ethnologue,Chefferies Hunde,Groupe autochtone du Nord-Kivu,Agro-forestière,Christianisme + coutumes locales,Bantou,Chefferies Hunde,RDC (principalement)
Nyanga,Nyanga,1665000,1.5,0.116434,Kinyanga,Nord-Kivu (territoire de Lubero),Ethnologue,Chefferies Nyanga,Peuple des montagnes du Nord-Kivu,Sédentaire agricole,Christianisme,Bantou,Chefferies locales,RDC (Nord-Kivu)
Shi,Bashi,2220000,2.0,0.155245,Mashi,"Sud-Kivu (Bukavu, Kabare)","Ethnologue, travaux sur les Bashi",Royaumes Bashi,Peuple ancien des rives du lac Kivu,Sédentaire agricole,Christianisme,Bantou,Royaume des Bashi,RDC (Sud-Kivu)
Havu,Havu,1110000,1.0,0.077622,Havu,"Littoral du lac Kivu (Idjwi, Kalehe)",Ethnologue,Chefferies Havu,Pêcheurs et agriculteurs des îles et rives du Kivu,Lacustre et agricole,Christianisme,Bantou,Chefferies lacustres,RDC (lac Kivu)
Ngala,"Bangala, Ngombe, etc.",3330000,3.0,0.232867,Lingala et langues ngala,"Équateur, Mongala","Ethnologue, travaux sur le Lingala",Chefferies Ngala,Groupe à l’origine de la diffusion du Lingala,Fluviale et forestière,Christianisme,Bantou,Chefferies fluviales,RDC (bassin du Congo)
Lokele,Lokele,1110000,1.0,0.077622,Lokele,"Tshopo (Kisangani, fleuve Congo)",Ethnologue,Chefferies Lokele,Peuple de pêcheurs du Congo moyen,Pêche fluviale,Christianisme + traditions,Bantou,Chefferies fluviales,RDC (Congo moyen)
Kanyok-Luba_associes,"Kanyok, Lwalwa, Kete",2220000,2.0,0.155245,"Kanyok, Lwalwa, Kete","Kasai, Lomami","Ethnologue, études régionales",Chefferies Kanyok et proches des Luba,Groupes apparentés aux Luba avec identité propre,Sédentaire,Christianisme,Bantou,Chefferies régionales,RDC (Kasai)
Songye,Songye,2220000,2.0,0.155245,Kisongye,"Lomami, Haut-Lomami",Ethnologue,Chefferies Songye,Connu pour des statuettes et masques puissants,Sédentaire,Christianisme + cultes locaux,Bantou,Chefferies Songye,RDC (centre-sud)
Yaka,Yaka,2220000,2.0,0.155245,Kiyaka,"Kwango, Kwilu",Ethnologue,Chefferies Yaka,"Peuple bantou de l’ouest, riche en art rituel",Sédentaire,Christianisme + traditions,Bantou,Chefferies Yaka,"RDC, Angola (zones frontalières)"
Suku,Suku,1665000,1.5,0.116434,Suku,Kwango (sud-ouest),Ethnologue,Chefferies Suku,"Groupe voisin des Yaka, connu pour son art",Sédentaire,Christianisme + traditions,Bantou,Chefferies Suku,RDC (sud-ouest)
Teke,Teke,1665000,1.5,0.116434,Teke,Frontière Congo-Brazzaville,Ethnologue,Royaumes Teke,Peuple ancien de la région du plateau Teke,Sédentaire,Christianisme + pratiques traditionnelles,Bantou,Royaumes/chefferies Teke,"RDC, Congo-Brazzaville, Gabon"
Autres_groupes,Divers petits groupes bantous et autochtones,8325000,7.5,0.582168,Diverses langues bantoues et autochtones,RDC entière (foyers dispersés),"Synthèse démographique (UN, CIA, études régionales)",Divers royaumes et chefferies locaux,Ensemble des nombreuses petites communautés non détaillées,Variable,Christianisme + religions traditionnelles,Principalement bantou,Chefferies et villages,RDC et pays voisins
